latitude,type,name,longitude
36.2645,Load Node,MUSLSLGH_6_N001,-119.91
36.4778,Load Node,LAURELES_6_N001,-121.73
34.0085,Generation Node,HILLGEN_7_B1,-117.95
37.937,Load Node,BIXLER_6_N001,-121.53
36.7044,Load Node,KEARNEY_7_N001,-119.88
36.2416,Generation Node,GWFGT1_7_B1,-119.9
36.2416,Generation Node,GWFGT2_7_B1,-119.9
36.2416,Load Node,HENRITTA_6_N101,-119.9
37.9749,Load Node,CURTIS1_7_N001,-120.32
33.3697,Generation Node,SONOFR2_7_B1,-117.55
33.3693,Generation Node,SONOFR3_7_B1,-117.55
33.3697,Load Node,SONOFRE_2_N001,-117.55
33.3697,Load Node,SONOFRE_2_N067,-117.55
37.9749,Generation Node,CURTISS_1_N010,-120.32
37.9749,Load Node,CURTISS_1_N101,-120.32
37.97,Generation Node,FBERBORD_1_N001,-120.3
33.0506,Load Node,ENCNITAS_6_N001,-117.29
33.0506,Load Node,ENCNITAS_6_N004,-117.29
33.0506,Load Node,ENCNITAS_6_N011,-117.29
38.6803,Load Node,ANNAPOLS_6_N001,-123.31
33.3847,Load Node,AVOCADO_6_N001,-117.24
33.3847,Load Node,AVOCADO_6_N002,-117.24
36.7044,Generation Node,KEARNEY_7_B3,-119.88
32.8329,Load Node,KEARNEY_7_N003,-117.13
38.0527,Load Node,MI-WUK_1_N001,-120.22
39.4028,Load Node,RICE_6_N002,-122.01
39.4028,Load Node,RICE_6_N101,-122.01
36.1058,Generation Node,SPRINGVL_6_N004,-118.94
36.1058,Generation Node,SPRINGVL_6_N002,-118.94
36.1058,Generation Node,SPRINGVL_6_N006,-118.94
36.1058,Load Node,SPRINGVL_6_N001,-118.94
32.9049,Load Node,MESARIM_6_N001,-117.17
32.9049,Load Node,MESARIM_6_N007,-117.17
32.9049,Load Node,MESARIM_6_N008,-117.17
32.9049,Load Node,MESARIM_6_N012,-117.17
34.2215,Load Node,GOULD_2_N001,-118.19
34.2215,Load Node,GOULD_2_N007,-118.19
38.0565,Load Node,FROGTOWN_7_N001,-120.53
38.0565,Generation Node,FROGTOWN_7_N003,-120.53
